new_id,route_id,ruta_original,original_index,original_id_xml,town,scenario_type,tipo_que_evalua,abilities,status,success,num_infractions,driving_score,route_completion,infraction_penalty,route_length,duration_game,duration_system,collisions_layout,collisions_pedestrian,collisions_vehicle,min_speed_infractions,outside_route_lanes,red_light,route_dev,route_timeout,scenario_timeouts,stop_infraction,vehicle_blocked,yield_emergency_vehicle_infractions
0,RouteScenario_0_rep0,bench2drive_157,157,24759,Town05,ParkingCutIn,vehículo saliendo desde zona de aparcamiento e invadiendo el carril del ego,Emergency_Brake,Perfect,1,0,100.0,100.0,1.0,135.875,18.1,89.361,0,0,0,0,0,0,0,0,0,0,0,0
1,RouteScenario_1_rep0,bench2drive_156,156,24757,Town06,ParkedObstacle,vehículo/obstáculo aparcado bloqueando el carril propio,Overtaking,Perfect,1,0,100.0,100.0,1.0,133.189,17.3,84.202,0,0,0,0,0,0,0,0,0,0,0,0
2,RouteScenario_2_rep0,bench2drive_03,3,1792,Town12,HazardAtSideLane,peligro lateral con bicicleta/actor en el carril adyacente,Overtaking,Perfect,1,0,100.0,100.0,1.0,133.1,23.2,163.251,0,0,0,0,0,0,0,0,0,0,0,0
3,RouteScenario_3_rep0,bench2drive_04,4,1825,Town12,ConstructionObstacleTwoWays,"obras en vía de doble sentido, con posible invasión del carril contrario",Overtaking,Failed - Agent timed out,0,5,10.34825,39.42,0.262513,132.064,362.55,2175.986,1,0,1,0,1,0,0,1,1,0,0,0
4,RouteScenario_4_rep0,bench2drive_174,174,25857,Town05,AccidentTwoWays,accidente bloqueando carril en vía de doble sentido,Overtaking,Perfect,1,0,100.0,100.0,1.0,129.43,38.35,187.519,0,0,0,0,0,0,0,0,0,0,0,0
5,RouteScenario_5_rep0,bench2drive_191,191,26435,Town03,ParkingExit,salida de aparcamiento e incorporación al flujo,Merging,Completed,0,1,60.0,100.0,0.6,131.365,17.8,92.216,0,0,1,0,0,0,0,0,0,0,0,0
6,RouteScenario_6_rep0,bench2drive_196,196,26956,Town05,SignalizedJunctionRightTurn,giro a la derecha en intersección regulada con flujo de actores,Merging; Traffic_Signs,Failed - Agent crashed,0,2,38.5854,91.87,0.42,73.757,15.3,85.23,0,0,1,0,0,1,0,0,0,0,0,0
7,RouteScenario_7_rep0,bench2drive_195,195,26950,Town03,OppositeVehicleRunningRedLight,vehículo opuesto que se salta el semáforo en rojo,Emergency_Brake; Traffic_Signs,Perfect,1,0,100.0,100.0,1.0,78.339,13.35,69.163,0,0,0,0,0,0,0,0,0,0,0,0
8,RouteScenario_8_rep0,bench2drive_11,11,2086,Town12,NonSignalizedJunctionLeftTurn,giro a la izquierda en intersección no semaforizada con flujo de actores,Merging; Traffic_Signs,Completed,0,1,60.0,100.0,0.6,79.058,21.05,156.819,0,0,1,0,0,0,0,0,0,0,0,0
9,RouteScenario_9_rep0,bench2drive_13,13,2115,Town12,NonSignalizedJunctionRightTurn,giro a la derecha en intersección no semaforizada con flujo de actores,Merging; Traffic_Signs,Completed,0,1,60.0,100.0,0.6,72.172,14.45,112.233,0,0,1,0,0,0,0,0,0,0,0,0
10,RouteScenario_10_rep0,bench2drive_14,14,2127,Town12,OppositeVehicleTakingPriority,vehículo opuesto que toma prioridad en intersección,Emergency_Brake; Traffic_Signs,Completed,0,1,60.0,100.0,0.6,76.602,15.8,118.073,0,0,1,0,0,0,0,0,0,0,0,0
11,RouteScenario_11_rep0,bench2drive_17,17,2144,Town12,VehicleTurningRoute,vehículo que interfiere durante el giro del ego,Emergency_Brake; Traffic_Signs,Completed,0,1,70.0,100.0,0.7,74.492,14.5,118.465,0,0,0,0,0,1,0,0,0,0,0,0
12,RouteScenario_12_rep0,bench2drive_18,18,2164,Town12,VehicleTurningRoutePedestrian,peatón/actor vulnerable durante el giro del ego,Emergency_Brake; Traffic_Signs,Perfect,1,0,100.0,100.0,1.0,74.8,20.5,146.718,0,0,0,0,0,0,0,0,0,0,0,0
13,RouteScenario_13_rep0,bench2drive_19,19,2201,Town12,EnterActorFlow,entrada en flujo de tráfico en intersección o incorporación,Merging; Traffic_Signs,Completed,0,1,60.0,100.0,0.6,82.683,56.25,397.112,0,0,1,0,0,0,0,0,0,0,0,0
14,RouteScenario_14_rep0,bench2drive_21,21,2215,Town12,BlockedIntersection,intersección bloqueada por tráfico cruzado,Emergency_Brake; Traffic_Signs,Completed,0,3,30.40727,100.0,0.304073,72.462,36.15,254.172,0,0,1,0,1,1,0,0,0,0,0,0
15,RouteScenario_15_rep0,bench2drive_22,22,2273,Town12,MergerIntoSlowTraffic,incorporación a tráfico lento,Merging,Failed - Agent deviated from the route,0,2,0.818184,1.55,0.527861,136.709,6.25,66.328,0,0,0,0,1,0,1,0,0,0,0,0
16,RouteScenario_16_rep0,bench2drive_52,52,3074,Town12,HighwayCutIn,vehículo que invade el carril del ego en carretera/autovía,Merging,Perfect,1,0,100.0,100.0,1.0,106.633,18.7,134.838,0,0,0,0,0,0,0,0,0,0,0,0
17,RouteScenario_17_rep0,bench2drive_59,59,3144,Town12,VanillaSignalizedTurnEncounterRedLight,giro semaforizado con semáforo rojo,Traffic_Signs,Completed,0,1,70.0,100.0,0.7,54.586,10.5,92.881,0,0,0,0,0,1,0,0,0,0,0,0
18,RouteScenario_18_rep0,bench2drive_60,60,3178,Town12,VanillaNonSignalizedTurn,giro no semaforizado sin actor conflictivo principal,Traffic_Signs,Failed - Agent got blocked,0,1,14.34,14.34,1.0,63.243,183.2,1081.111,0,0,0,0,0,0,0,0,0,0,1,0
19,RouteScenario_19_rep0,bench2drive_29,29,2416,Town12,VanillaNonSignalizedTurnEncounterStopsign,giro/intersección con señal de stop,Traffic_Signs,Failed - Agent crashed,0,0,35.35,35.35,1.0,57.279,57.75,1603.105,0,0,0,0,0,0,0,0,0,0,0,0
20,RouteScenario_20_rep0,bench2drive_30,30,2509,Town12,ConstructionObstacle,obras/obstáculo estático en el carril propio,Overtaking,Perfect,1,0,100.0,100.0,1.0,134.084,17.1,128.42,0,0,0,0,0,0,0,0,0,0,0,0
21,RouteScenario_21_rep0,bench2drive_162,162,24816,Town03,Accident,accidente/obstáculo estático en el carril propio,Overtaking,Perfect,1,0,100.0,100.0,1.0,125.152,16.4,85.169,0,0,0,0,0,0,0,0,0,0,0,0
22,RouteScenario_22_rep0,bench2drive_37,37,2664,Town12,ParkedObstacleTwoWays,obstáculo aparcado en vía bidireccional con tráfico en sentido contrario,Overtaking,Completed,0,3,21.6,100.0,0.216,133.067,120.75,736.561,0,0,3,0,0,0,0,0,0,0,0,0
23,RouteScenario_23_rep0,bench2drive_185,185,26396,Town05,StaticCutIn,actor estático o vehículo que invade repentinamente la trayectoria,Emergency_Brake,Perfect,1,0,100.0,100.0,1.0,134.874,16.55,87.244,0,0,0,0,0,0,0,0,0,0,0,0
24,RouteScenario_24_rep0,bench2drive_41,41,2790,Town12,InvadingTurn,vehículo invadiendo durante el giro; el ego debe ceder,Give_Way,Perfect,1,0,100.0,100.0,1.0,99.392,14.2,112.298,0,0,0,0,0,0,0,0,0,0,0,0
25,RouteScenario_25_rep0,bench2drive_54,54,3086,Town12,CrossingBicycleFlow,flujo de bicicletas cruzando la trayectoria,Merging; Traffic_Signs,Completed,0,1,60.0,100.0,0.6,83.304,20.7,159.491,0,0,1,0,0,0,0,0,0,0,0,0
26,RouteScenario_26_rep0,bench2drive_145,145,24206,Town03,ParkingCrossingPedestrian,peatón cruzando desde zona de aparcamiento/oculto,Emergency_Brake,Completed,0,1,87.121609,100.0,0.871216,133.013,36.25,189.479,0,0,0,0,1,0,0,0,0,0,0,0
27,RouteScenario_27_rep0,bench2drive_167,167,25378,Town03,YieldToEmergencyVehicle,ceder el paso a vehículo de emergencia,Give_Way,Completed,0,1,70.0,100.0,0.7,95.145,10.25,59.13,0,0,0,0,0,0,0,0,0,0,0,1
28,RouteScenario_28_rep0,bench2drive_179,179,25951,Town04,HazardAtSideLaneTwoWays,peligro lateral en vía bidireccional con tráfico opuesto,Overtaking,Perfect,1,0,100.0,100.0,1.0,135.263,46.85,225.732,0,0,0,0,0,0,0,0,0,0,0,0
29,RouteScenario_29_rep0,bench2drive_178,178,25928,Town11,VehicleOpensDoorTwoWays,puerta abierta/obstáculo lateral en vía bidireccional,Overtaking,Failed - Agent deviated from the route,0,1,2.07,2.07,1.0,100.088,6.1,58.716,0,0,0,0,0,0,1,0,0,0,0,0
30,RouteScenario_30_rep0,bench2drive_152,152,24330,Town10HD,HardBreakRoute,frenada fuerte ante evento repentino,Emergency_Brake,Perfect,1,0,100.0,100.0,1.0,100.3,10.7,59.384,0,0,0,0,0,0,0,0,0,0,0,0
31,RouteScenario_31_rep0,bench2drive_154,154,24340,Town10HD,ControlLoss,actor/vehículo con pérdida de control o situación repentina,Emergency_Brake,Perfect,1,0,100.0,100.0,1.0,100.3,10.7,57.224,0,0,0,0,0,0,0,0,0,0,0,0
32,RouteScenario_32_rep0,bench2drive_105,105,4468,Town12,SignalizedJunctionLeftTurn,giro a la izquierda en intersección regulada con flujo,Merging; Traffic_Signs,Completed,0,2,56.906865,100.0,0.569069,77.591,18.85,148.237,0,0,1,0,1,0,0,0,0,0,0,0
33,RouteScenario_33_rep0,bench2drive_203,203,27529,Town04,PedestrianCrossing,peatón cruzando la trayectoria,Emergency_Brake; Traffic_Signs,Completed,0,1,80.0,100.0,0.8,69.967,20.4,110.262,0,0,0,0,0,0,0,0,0,1,0,0
34,RouteScenario_34_rep0,bench2drive_182,182,25975,Town07,VanillaSignalizedTurnEncounterGreenLight,giro semaforizado con semáforo verde,Traffic_Signs,Completed,0,1,70.0,100.0,0.7,52.291,9.85,51.169,0,0,0,0,0,1,0,0,0,0,0,0
35,RouteScenario_35_rep0,bench2drive_117,117,17563,Town12,SequentialLaneChange,cambio de carril secuencial,Merging,Perfect,1,0,100.0,100.0,1.0,115.325,16.4,122.16,0,0,0,0,0,0,0,0,0,0,0,0
36,RouteScenario_36_rep0,bench2drive_122,122,17752,Town12,DynamicObjectCrossing,objeto/actor dinámico cruzando la trayectoria,Emergency_Brake,Perfect,1,0,100.0,100.0,1.0,133.161,16.6,127.795,0,0,0,0,0,0,0,0,0,0,0,0
37,RouteScenario_37_rep0,bench2drive_129,129,23659,Town12,HighwayExit,salida/incorporación en carretera con flujo de actores,Merging,Perfect,1,0,100.0,100.0,1.0,99.127,24.0,167.968,0,0,0,0,0,0,0,0,0,0,0,0
38,RouteScenario_38_rep0,bench2drive_134,134,23708,Town12,InterurbanAdvancedActorFlow,flujo interurbano avanzado con interacción lateral,Merging,Completed,0,2,36.0,100.0,0.36,148.995,22.05,156.639,0,0,2,0,0,0,0,0,0,0,0,0
39,RouteScenario_39_rep0,bench2drive_135,135,23771,Town12,MergerIntoSlowTrafficV2,incorporación a tráfico lento versión 2,Merging,Completed,0,1,60.0,100.0,0.6,146.527,30.5,209.379,0,0,1,0,0,0,0,0,0,0,0,0
40,RouteScenario_40_rep0,bench2drive_137,137,23910,Town12,InterurbanActorFlow,flujo de actores en vía interurbana,Merging,Failed - Agent got blocked,0,1,70.74,70.74,1.0,106.662,191.5,1166.204,0,0,0,0,0,0,0,0,0,0,1,0
41,RouteScenario_41_rep0,bench2drive_193,193,26458,Town07,T_Junction,intersección en T,Traffic_Signs,Perfect,1,0,100.0,100.0,1.0,77.595,14.25,72.152,0,0,0,0,0,0,0,0,0,0,0,0
