new_id,ruta_original,original_index,original_id_xml,town,scenario_type,tipo_que_evalua,abilities,distance,speed,flow_speed,source_dist_interval,frequency,bicycle_speed,bicycle_drive_distance,crossing_angle,route_length_m_approx,num_waypoints
0,bench2drive_157,157,24759,Town05,ParkingCutIn,vehículo saliendo desde zona de aparcamiento e invadiendo el carril del ego,Emergency_Brake,,,,,,,,,136.8,68
1,bench2drive_156,156,24757,Town06,ParkedObstacle,vehículo/obstáculo aparcado bloqueando el carril propio,Overtaking,43.0,41.0,,,,,,,134.1,68
2,bench2drive_03,3,1792,Town12,HazardAtSideLane,peligro lateral con bicicleta/actor en el carril adyacente,Overtaking,45.0,44.0,,,,6.0,101.0,,134.1,68
3,bench2drive_04,4,1825,Town12,ConstructionObstacleTwoWays,"obras en vía de doble sentido, con posible invasión del carril contrario",Overtaking,43.0,,,,70-149,,,,134.0,68
4,bench2drive_174,174,25857,Town05,AccidentTwoWays,accidente bloqueando carril en vía de doble sentido,Overtaking,44.0,,,,62-109,,,,131.4,68
5,bench2drive_191,191,26435,Town03,ParkingExit,salida de aparcamiento e incorporación al flujo,Merging,,,,,,,,,132.4,68
6,bench2drive_196,196,26956,Town05,SignalizedJunctionRightTurn,giro a la derecha en intersección regulada con flujo de actores,Merging; Traffic_Signs,,,12.0,22-38,,,,,70.1,27
7,bench2drive_195,195,26950,Town03,OppositeVehicleRunningRedLight,vehículo opuesto que se salta el semáforo en rojo,Emergency_Brake; Traffic_Signs,,,,,,,,,73.5,27
8,bench2drive_11,11,2086,Town12,NonSignalizedJunctionLeftTurn,giro a la izquierda en intersección no semaforizada con flujo de actores,Merging; Traffic_Signs,,,8.0,24-25,,,,,74.0,28
9,bench2drive_13,13,2115,Town12,NonSignalizedJunctionRightTurn,giro a la derecha en intersección no semaforizada con flujo de actores,Merging; Traffic_Signs,,,8.0,21-26,,,,,68.4,25
10,bench2drive_14,14,2127,Town12,OppositeVehicleTakingPriority,vehículo opuesto que toma prioridad en intersección,Emergency_Brake; Traffic_Signs,,,,,,,,,72.9,26
11,bench2drive_17,17,2144,Town12,VehicleTurningRoute,vehículo que interfiere durante el giro del ego,Emergency_Brake; Traffic_Signs,,,,,,,,,71.2,27
12,bench2drive_18,18,2164,Town12,VehicleTurningRoutePedestrian,peatón/actor vulnerable durante el giro del ego,Emergency_Brake; Traffic_Signs,,,,,,,,,69.9,26
13,bench2drive_19,19,2201,Town12,EnterActorFlow,entrada en flujo de tráfico en intersección o incorporación,Merging; Traffic_Signs,,,17.0,30-38,,,,,78.5,28
14,bench2drive_21,21,2215,Town12,BlockedIntersection,intersección bloqueada por tráfico cruzado,Emergency_Brake; Traffic_Signs,,,,,,,,,69.3,28
15,bench2drive_22,22,2273,Town12,MergerIntoSlowTraffic,incorporación a tráfico lento,Merging,,,9.0,16-33,,,,,138.4,26
